Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionRate,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
34,0,1346.0,19.0,2.0,2.0,93.0,3.0,1,4.0,2661.0,8758.0,0,0,11,3,3.0,1,3.0,2,3.0,2.0,2.0,1.0,2.0,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
28,1,103.0,24.0,3.0,3.0,50.0,2.0,1,3.0,2028.0,12947.0,5,1,14,3,2.0,0,6.0,4,3.0,4.0,2.0,0.0,3.0,4.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
29,0,1389.0,21.0,4.0,2.0,51.0,4.0,3,1.0,9980.0,10195.0,1,0,11,3,3.0,1,10.0,1,3.0,10.0,9.0,8.0,8.0,1.111,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,0,334.0,5.0,2.0,1.0,80.0,4.0,1,2.0,3298.0,15053.0,0,1,12,3,4.0,2,7.0,5,2.0,6.0,2.0,0.0,5.0,6.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
22,0,1123.0,16.0,2.0,4.0,96.0,4.0,1,4.0,2935.0,7324.0,1,1,13,3,2.0,2,1.0,2,2.0,1.0,0.0,0.0,0.0,1.0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False
53,0,1219.0,2.0,4.0,1.0,78.0,2.0,4,4.0,15427.0,22021.0,2,0,16,3,3.0,0,31.0,3,3.0,25.0,8.0,3.0,7.0,6.25,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
38,0,371.0,2.0,3.0,4.0,45.0,3.0,1,4.0,3944.0,4306.0,5,1,11,3,3.0,0,6.0,3,3.0,3.0,2.0,1.0,2.0,1.5,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
24,0,673.0,11.0,2.0,1.0,96.0,4.0,2,3.0,4011.0,8232.0,0,0,18,3,4.0,1,5.0,5,2.0,4.0,2.0,1.0,3.0,2.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
36,1,1218.0,9.0,4.0,3.0,82.0,2.0,1,1.0,3407.0,6986.0,7,0,23,4,2.0,0,10.0,4,3.0,5.0,3.0,0.0,3.0,5.0,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
34,0,419.0,7.0,4.0,1.0,53.0,3.0,3,2.0,11994.0,21293.0,0,0,11,3,3.0,0,13.0,4,3.0,12.0,6.0,2.0,11.0,4.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
21,0,391.0,15.0,2.0,3.0,96.0,3.0,1,4.0,1232.0,19281.0,1,0,14,3,4.0,0,0.0,6,3.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
34,1,699.0,6.0,1.0,2.0,83.0,3.0,1,1.0,2960.0,17102.0,2,0,11,3,3.0,0,8.0,2,3.0,4.0,2.0,1.0,3.0,2.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
53,0,1282.0,5.0,3.0,3.0,58.0,3.0,5,3.0,19094.0,10735.0,4,0,11,3,4.0,1,26.0,3,2.0,14.0,13.0,4.0,8.0,2.8,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
32,1,1125.0,16.0,1.0,2.0,72.0,1.0,1,1.0,3919.0,4681.0,1,1,22,4,2.0,0,10.0,5,3.0,10.0,2.0,6.0,7.0,1.429,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,0,691.0,8.0,4.0,3.0,48.0,3.0,2,2.0,6825.0,21173.0,0,0,11,3,4.0,1,10.0,2,3.0,9.0,7.0,4.0,2.0,1.8,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
44,0,477.0,7.0,4.0,1.0,42.0,2.0,3,4.0,10248.0,2094.0,3,0,14,3,4.0,1,24.0,4,3.0,22.0,6.0,5.0,17.0,3.667,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
46,0,705.0,2.0,4.0,2.0,83.0,3.0,5,1.0,18947.0,22822.0,3,0,12,3,4.0,0,22.0,2,2.0,2.0,2.0,2.0,1.0,0.667,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
33,0,924.0,2.0,3.0,3.0,78.0,3.0,1,4.0,2496.0,6670.0,4,0,11,3,4.0,0,7.0,3,3.0,1.0,1.0,0.0,0.0,1.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
44,0,1459.0,10.0,4.0,4.0,41.0,3.0,2,4.0,6465.0,19121.0,2,1,13,3,4.0,0,9.0,5,4.0,4.0,2.0,1.0,3.0,2.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
30,0,125.0,9.0,2.0,4.0,83.0,2.0,1,3.0,2206.0,16117.0,1,0,13,3,1.0,0,10.0,5,3.0,10.0,0.0,1.0,8.0,5.0,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
39,1,895.0,5.0,3.0,4.0,56.0,3.0,2,4.0,2086.0,3335.0,3,0,14,3,3.0,1,19.0,6,4.0,1.0,0.0,0.0,0.0,1.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False
24,1,813.0,1.0,3.0,2.0,61.0,3.0,1,4.0,2293.0,3020.0,2,1,16,3,1.0,1,6.0,2,2.0,2.0,0.0,2.0,0.0,0.667,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
43,0,1273.0,2.0,2.0,4.0,72.0,4.0,1,3.0,2645.0,21923.0,1,0,12,3,4.0,2,6.0,3,2.0,5.0,3.0,1.0,4.0,2.5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
50,1,869.0,3.0,2.0,1.0,86.0,2.0,1,3.0,2683.0,3810.0,1,1,14,3,3.0,0,3.0,2,3.0,3.0,2.0,0.0,2.0,3.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False
35,0,890.0,2.0,3.0,4.0,97.0,3.0,1,4.0,2014.0,9687.0,1,0,13,3,1.0,0,2.0,3,3.0,2.0,2.0,2.0,2.0,0.667,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
36,0,852.0,5.0,4.0,2.0,82.0,2.0,1,1.0,3419.0,13072.0,9,1,14,3,4.0,1,6.0,3,4.0,1.0,1.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
33,0,1141.0,1.0,3.0,3.0,42.0,4.0,2,1.0,5376.0,3193.0,2,0,19,3,1.0,2,10.0,3,3.0,5.0,3.0,1.0,3.0,2.5,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
35,0,464.0,4.0,2.0,3.0,75.0,3.0,1,4.0,1951.0,10910.0,1,0,12,3,3.0,1,1.0,3,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
27,0,1240.0,2.0,4.0,4.0,33.0,3.0,1,1.0,2341.0,19715.0,1,0,13,3,4.0,1,1.0,6,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
26,1,1357.0,25.0,3.0,1.0,48.0,1.0,1,3.0,2293.0,10558.0,1,0,12,3,3.0,0,1.0,2,2.0,1.0,0.0,0.0,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
27,0,994.0,8.0,3.0,4.0,37.0,3.0,3,3.0,8726.0,2975.0,1,0,15,3,4.0,0,9.0,0,3.0,9.0,8.0,1.0,7.0,4.5,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,0,721.0,1.0,2.0,3.0,58.0,3.0,2,4.0,4011.0,10781.0,1,0,23,4,4.0,0,12.0,2,3.0,12.0,8.0,3.0,7.0,3.0,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
41,1,1360.0,12.0,3.0,2.0,49.0,3.0,5,3.0,19545.0,16280.0,1,0,12,3,4.0,0,23.0,0,3.0,22.0,15.0,15.0,8.0,1.375,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
34,0,1065.0,23.0,4.0,2.0,72.0,3.0,2,3.0,4568.0,10034.0,0,0,20,4,3.0,0,10.0,2,3.0,9.0,5.0,8.0,7.0,1.0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
37,0,408.0,19.0,2.0,2.0,73.0,3.0,1,2.0,3022.0,10227.0,4,0,21,4,1.0,0,8.0,1,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
46,0,1211.0,5.0,4.0,1.0,98.0,3.0,2,4.0,5772.0,20445.0,4,1,21,4,3.0,0,14.0,4,3.0,9.0,6.0,0.0,8.0,9.0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
35,0,1229.0,8.0,1.0,4.0,36.0,4.0,1,4.0,2269.0,4892.0,1,0,19,3,4.0,0,1.0,2,3.0,1.0,0.0,0.0,1.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
48,1,626.0,1.0,2.0,1.0,98.0,2.0,3,3.0,5381.0,19294.0,9,1,13,3,4.0,0,23.0,2,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
28,1,1434.0,5.0,4.0,3.0,50.0,3.0,1,3.0,3441.0,11179.0,1,1,13,3,3.0,0,2.0,3,2.0,2.0,2.0,2.0,2.0,0.667,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True
44,0,1488.0,1.0,5.0,2.0,75.0,3.0,2,1.0,5454.0,4009.0,5,1,21,4,3.0,1,9.0,2,2.0,4.0,3.0,1.0,3.0,2.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35,0,1097.0,11.0,2.0,3.0,79.0,2.0,3,1.0,9884.0,8302.0,2,1,13,3,3.0,1,10.0,3,3.0,4.0,0.0,2.0,3.0,1.333,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
26,0,1443.0,23.0,3.0,3.0,47.0,2.0,2,4.0,4157.0,21436.0,7,1,19,3,3.0,1,5.0,2,2.0,2.0,2.0,0.0,0.0,2.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
33,0,515.0,1.0,2.0,1.0,98.0,3.0,3,4.0,13458.0,15146.0,1,1,12,3,3.0,0,15.0,1,3.0,15.0,14.0,8.0,12.0,1.667,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
35,0,853.0,18.0,5.0,2.0,71.0,3.0,3,1.0,9069.0,11031.0,1,0,22,4,4.0,1,9.0,3,2.0,9.0,8.0,1.0,8.0,4.5,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
35,0,1142.0,23.0,4.0,3.0,30.0,3.0,1,1.0,4014.0,16002.0,3,1,15,3,3.0,1,4.0,3,3.0,2.0,2.0,2.0,2.0,0.667,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
31,0,655.0,7.0,4.0,4.0,48.0,3.0,2,4.0,5915.0,9528.0,3,0,22,4,4.0,1,10.0,3,2.0,7.0,7.0,1.0,7.0,3.5,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
37,0,1115.0,1.0,4.0,1.0,51.0,2.0,2,3.0,5993.0,2689.0,1,0,18,3,3.0,1,7.0,2,4.0,7.0,5.0,0.0,7.0,7.0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
32,0,427.0,1.0,3.0,1.0,33.0,3.0,2,4.0,6162.0,10877.0,1,1,22,4,2.0,1,9.0,3,3.0,9.0,8.0,7.0,8.0,1.125,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
38,0,653.0,29.0,5.0,4.0,50.0,3.0,2,4.0,2406.0,5456.0,1,0,11,3,4.0,0,10.0,2,3.0,10.0,3.0,9.0,9.0,1.0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
50,0,989.0,7.0,2.0,2.0,43.0,2.0,5,3.0,18740.0,16701.0,5,1,12,3,4.0,1,29.0,2,2.0,27.0,3.0,13.0,8.0,1.929,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
59,0,1435.0,25.0,3.0,1.0,99.0,3.0,3,1.0,7637.0,2354.0,7,0,11,3,4.0,0,28.0,3,2.0,21.0,16.0,7.0,9.0,2.625,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
36,0,1223.0,8.0,3.0,3.0,59.0,3.0,3,3.0,10096.0,8202.0,1,0,13,3,2.0,3,17.0,2,3.0,17.0,14.0,12.0,8.0,1.308,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
55,0,836.0,8.0,3.0,4.0,33.0,3.0,4,3.0,14756.0,19730.0,2,1,14,3,3.0,3,21.0,2,3.0,5.0,0.0,0.0,2.0,5.0,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
36,0,1195.0,11.0,3.0,2.0,95.0,2.0,2,2.0,6499.0,22656.0,1,0,13,3,3.0,0,6.0,3,3.0,6.0,5.0,0.0,3.0,6.0,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
45,0,1339.0,7.0,3.0,2.0,59.0,3.0,3,1.0,9724.0,18787.0,2,0,17,3,3.0,1,25.0,2,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
35,0,664.0,1.0,3.0,2.0,79.0,3.0,1,1.0,2194.0,5868.0,4,0,13,3,4.0,1,5.0,2,2.0,3.0,2.0,1.0,2.0,1.5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
36,1,318.0,9.0,3.0,4.0,79.0,2.0,1,3.0,3388.0,21777.0,0,1,17,3,1.0,1,2.0,0,2.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
59,0,1225.0,1.0,1.0,1.0,57.0,2.0,2,3.0,5473.0,24668.0,7,0,11,3,4.0,0,20.0,2,2.0,4.0,3.0,1.0,3.0,2.0,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
29,0,1328.0,2.0,3.0,3.0,76.0,3.0,1,2.0,2703.0,4956.0,0,0,23,4,4.0,1,6.0,3,3.0,5.0,4.0,0.0,4.0,5.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
31,0,1082.0,1.0,4.0,3.0,87.0,3.0,1,2.0,2501.0,18775.0,1,0,17,3,2.0,0,1.0,4,3.0,1.0,1.0,1.0,0.0,0.5,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
32,0,548.0,1.0,3.0,2.0,66.0,3.0,2,2.0,6220.0,7346.0,1,0,17,3,2.0,2,10.0,3,3.0,10.0,4.0,0.0,9.0,10.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
36,0,132.0,6.0,3.0,2.0,55.0,4.0,1,4.0,3038.0,22002.0,3,0,12,3,2.0,0,5.0,3,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
31,0,746.0,8.0,4.0,3.0,61.0,3.0,2,4.0,4424.0,20682.0,1,0,23,4,4.0,0,11.0,2,3.0,11.0,7.0,1.0,8.0,5.5,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,0,776.0,1.0,4.0,3.0,32.0,2.0,2,1.0,4312.0,23016.0,0,0,14,3,2.0,0,16.0,2,3.0,15.0,13.0,2.0,8.0,5.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
45,0,193.0,6.0,4.0,4.0,52.0,3.0,3,1.0,13245.0,15067.0,4,1,14,3,2.0,0,17.0,3,4.0,0.0,0.0,0.0,0.0,0.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
37,0,397.0,7.0,4.0,1.0,30.0,3.0,3,3.0,13664.0,25258.0,4,0,13,3,1.0,0,16.0,3,4.0,5.0,2.0,0.0,2.0,5.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
46,0,945.0,5.0,2.0,2.0,80.0,3.0,2,2.0,5021.0,10425.0,8,1,22,4,4.0,1,16.0,2,3.0,4.0,2.0,0.0,2.0,4.0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False
30,0,852.0,1.0,1.0,4.0,55.0,2.0,2,4.0,5126.0,15998.0,1,1,12,3,3.0,2,10.0,1,2.0,10.0,8.0,3.0,0.0,2.5,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
35,0,1214.0,1.0,3.0,2.0,30.0,2.0,1,3.0,2859.0,26278.0,1,0,18,3,1.0,0,6.0,3,3.0,6.0,4.0,0.0,4.0,6.0,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
55,0,111.0,1.0,2.0,1.0,70.0,3.0,3,4.0,10239.0,18092.0,3,0,14,3,4.0,1,24.0,4,3.0,1.0,0.0,1.0,0.0,0.5,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
38,0,573.0,6.0,3.0,2.0,79.0,1.0,2,4.0,5329.0,15717.0,7,1,12,3,4.0,3,17.0,3,3.0,13.0,11.0,1.0,9.0,6.5,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
34,0,1153.0,1.0,2.0,1.0,94.0,3.0,2,2.0,4325.0,17736.0,1,0,15,3,3.0,0,5.0,2,3.0,5.0,2.0,1.0,3.0,2.5,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False
56,0,1400.0,7.0,3.0,4.0,49.0,1.0,3,4.0,7260.0,21698.0,4,0,11,3,1.0,0,37.0,3,2.0,6.0,4.0,0.0,2.0,6.0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
23,0,541.0,2.0,1.0,3.0,62.0,3.0,1,1.0,2322.0,9518.0,3,0,13,3,3.0,1,3.0,3,3.0,0.0,0.0,0.0,0.0,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
51,0,432.0,9.0,4.0,4.0,96.0,3.0,1,4.0,2075.0,18725.0,3,0,23,4,2.0,2,10.0,4,3.0,4.0,2.0,0.0,3.0,4.0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
30,0,288.0,2.0,3.0,3.0,99.0,2.0,2,4.0,4152.0,15830.0,1,0,19,3,1.0,3,11.0,3,3.0,11.0,10.0,10.0,8.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
46,1,669.0,9.0,2.0,3.0,64.0,2.0,3,4.0,9619.0,13596.0,1,0,16,3,4.0,0,9.0,3,3.0,9.0,8.0,4.0,7.0,1.8,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
40,0,530.0,1.0,4.0,3.0,78.0,2.0,4,2.0,13503.0,14115.0,1,0,22,4,4.0,1,22.0,3,2.0,22.0,3.0,11.0,11.0,1.833,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
51,0,632.0,21.0,4.0,3.0,71.0,3.0,2,4.0,5441.0,8423.0,0,1,22,4,4.0,0,11.0,2,1.0,10.0,7.0,1.0,0.0,5.0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True
30,0,1334.0,4.0,2.0,3.0,63.0,2.0,2,2.0,5209.0,19760.0,1,1,12,3,2.0,3,11.0,4,2.0,11.0,8.0,2.0,7.0,3.667,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
46,0,638.0,1.0,3.0,3.0,40.0,2.0,3,1.0,10673.0,3142.0,2,1,13,3,3.0,1,21.0,5,2.0,10.0,9.0,9.0,5.0,1.0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
32,0,1093.0,6.0,4.0,2.0,87.0,3.0,2,3.0,5010.0,24301.0,1,0,16,3,1.0,0,12.0,0,3.0,11.0,8.0,5.0,7.0,1.833,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
54,0,1217.0,2.0,4.0,1.0,60.0,3.0,3,3.0,13549.0,24001.0,9,0,12,3,1.0,1,16.0,5,1.0,4.0,3.0,0.0,3.0,4.0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
24,0,1353.0,3.0,2.0,1.0,33.0,3.0,2,3.0,4999.0,17519.0,0,0,21,4,1.0,1,4.0,2,2.0,3.0,2.0,0.0,2.0,3.0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
28,0,120.0,4.0,3.0,2.0,43.0,3.0,2,3.0,4221.0,8863.0,1,0,15,3,2.0,0,5.0,3,4.0,5.0,4.0,0.0,4.0,5.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
58,0,682.0,10.0,4.0,4.0,37.0,3.0,4,3.0,13872.0,24409.0,0,0,13,3,3.0,0,38.0,1,2.0,37.0,10.0,1.0,8.0,18.5,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
44,0,489.0,23.0,3.0,2.0,67.0,3.0,2,2.0,2042.0,25043.0,4,0,12,3,3.0,1,17.0,3,4.0,3.0,2.0,1.0,2.0,1.5,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
37,1,807.0,6.0,4.0,3.0,63.0,3.0,1,1.0,2073.0,23648.0,4,1,22,4,4.0,0,7.0,3,3.0,3.0,2.0,0.0,2.0,3.0,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
32,0,827.0,1.0,1.0,4.0,71.0,3.0,1,1.0,2956.0,15178.0,1,0,13,3,4.0,0,1.0,2,3.0,1.0,0.0,0.0,0.0,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
